"CODEMPRESA","PROCESSO","DATA","DESCRICAO","DOCUMENTO","INTERNET","ID","DTMAX","IMPMEMO","IMPRESSAO"
958,"40091886620258260100","11/12/2025","DO DEFIRO O ARRESTO DO IMOVEL, JUNTE CUSTAS PARA INTIMAR O EXECUTADO E CREDOR FIDUCIARIO
PROT PET JUNTANDO AS CUSTAS.","","True",17894,"","","True"
981,"10147140520248260002","17/12/2025","DO JUNET CUSTAS PARA INITMAÇÃO DA EXECUTADA
PROT PET REQUERENDO A INTIMAÇÃO PELO DIARIO OFICIAL , UMA VEZ QUE A EXECUTADA É ADVOGADA E ESTA EM CAUSA PROPRIA.","","True",17907,"","","True"
928,"10115190920248260100","11/02/2026","DO JUNTE MATRICULA E CALCULO ATUALIZADO
PROT PET JUNTANDO OS DOCUMENTOS SOLICITADOS","","True",18122,"","","True"
948,"10640573020258260100","12/02/2026","PROT PET JUNTANDO GUIA DA ARISP PAGA","","True",18123,"","","True"
900,"00083231020098260606","30/10/2023","PARTE CONTRARIA INGRESSOU COM AGRAVO DE INSTRUMENTO PARA SUSPENDER O LEILÃO, POREM O TRIBUNAL NÃO CONCEDEU .
PROT PET CONTRAMINUTA.","","True",13049,"","","True"
900,"00083231020098260606","07/11/2023","PROT PET CONTRAMINUTA DE AGRAVO DE INSTRUMENTO.","","True",13050,"","","True"
6,"00833647820118260002","09/12/2011","PROTOCOLAMOS PETIÇÃO REQUERENDO JUNTADA DE DILIGENCIA DE OFICIAL DE JUSTIÇA.","","True",156,"","","True"
6,"00833647820118260002","13/12/2011","DO. PETIÇÃO JUNTANDO A PROCURAÇÃO ORIGINAL E A DIFERENÇA DE CUSTAS.","","True",157,"","","True"
6,"00833647820118260002","23/02/2012","JUNTDA DE PETIÇÃO 17/02","","True",158,"","","True"
6,"00833647820118260002","18/04/2012","DATILOGRAFIA 17/04","","True",159,"","","True"
6,"00833647820118260002","18/07/2012","MANDADO COM OFICIAL 13/07. DEIXA DE CITAR A EMPRESA UMA VEZ QUE O LOCAL SE ENCONTRA ABANDONADO.","","True",160,"","","True"
6,"00833647820118260002","01/08/2012","PROTOCALAMOS PETIÇÃO REQUERENDO LOCALCIZAÇÃO DO ENDEREÇO VIA BANCO CENTRAL, JUNTEI CUSTAS.","","True",161,"","","True"
6,"00833647820118260002","22/08/2012","PROTOCOLAMOS PETIÇÃO REQUERENDO ADITAMENTO PARA FAZER CONSTAR NO POLO PASSIVO O COMPROMISSARIO COMPRADOR FERNANDO CARLOS DE MELLO, JUNTEI COPIA DA INICIAL, ADITAMENTO E DILIGENCIA DO OFICIAL DE JUSTIÇA.","","True",162,"","","True"
6,"00833647820118260002","18/09/2012","JUNTADA DE PETIÇÃO 14/09.","","True",163,"","","True"
916,"10136465220178260006","20/06/2023","PROT PET JUNTANDO NOSSA PROCURAÇÃO E A REVOGAÇÃO DO OUTRO ESCRITORIO, E REQUERENDO A DESIGNAÇÃO DE DATA DE PRAÇA COM A MEGA LEILÕES.
IMOVEL AVALIADO POR R$ 202.000,00 EM JANEIRO DE 2021","","True",11790,"","","True"
916,"10131115020228260006","20/06/2023","PROT PET COM A NOSSA PROCURAÇÃO E A REVOGAÇÃO DO OUTRO ADVOGADO
PROCESSO NA SALA DO JUIZ PARA SENTENCIAR","","True",11791,"","","True"
916,"10084509120238260006","20/06/2023","PROCESSO DISTRIBUIDO - 600044 (BLOCO 06 - APT 44)","","True",11793,"","","True"
75,"583002011177203-3","20/06/2023","DO INTIME A PERITA PARA QUE SE MANIFESTE","","True",11797,"","","True"
900,"00083231020098260606","20/06/2023","DO CONSIDERANDO QUE O EXECUTADO FOI INTIMADO DA PENHORA, REQUEIRA O EXEQUENTE O QUE DE DIREITO.
PROT PET REQ NOMEAÇÃO DE PERITO JUDICIAL PARA AVALIAR O BEM PENHORADO.","","True",11801,"","","True"
252,"10535371920228260002","20/06/2023","JUNTADO AR POSITIVO 14/06/2023
PROT PET REQ PENHORA ON LINE.","","True",11804,"","","True"
916,"10084509120238260006","21/06/2023","PROCESSO NA SALA DO JUIZ ","","True",11808,"","","True"
6,"00833647820118260002","21/09/2012","DO. DEFIRO O BANCO CENTRAL PARA LOCALIZAÇÃO DO ENDEREÇO. DEFIRO A INCLUSÃO DE FERNANDO C. DE MELLO CALABRINA NO POLO PASSIVO E SERVENTIA AS NECESSARIAS ANOTAÇÕES NA AUTUAÇÃO BEM COMO JUNTO AO DESTRIBUIDOR. EXPEÇO-SE MANDADO DE CITAÇÃO.","","True",164,"","","True"
6,"00833647820118260002","26/09/2012","DATILOGRAFIA 26/09.","","True",165,"","","True"
6,"00833647820118260002","24/10/2012","MANDADO COM OFICIAL DE JUSTIÇA 23/10.","","True",166,"","","True"
6,"00833647820118260002","17/12/2012","DEIXOU DE CITAR FERNANDO, POIS SEGUNDO SUA MULHER NÃO TEM HORARIO CERTO PARA ESTAR NO LOCAL.PROTOOLAMOS PETIÇÃO REQUERENDO ITAÇÃO POR HORA CERTA. JUNTEI DILIGENCIA DE OFICIAL DE JUSTIÇA.","","True",167,"","","True"
